Gloss,Frequency
DOG1,45
BASKETBALL1,44
WHATFOR1,43
BELT1,40
BREAKFAST1,39
EAT1,39
DEAF1,39
PARTY1,39
MECHANIC1,39
CHRISTMAS1,39
DARK1,39
MOVIE1,39
FINE1,39
ROCKINGCHAIR1,39
HOSPITAL1,39
DEMAND1,39
BITE1,39
SHAVE1,39
ELEVATOR1,39
FOREIGNER1,39
PATIENT2,39
NIGHT1,39
BEE1,39
MICROSCOPE1,38
RESEARCH1,38
TYPE1,38
AXE1,38
RECENT1,38
DRAG1,38
DECIDE1,38
BELIEVE1,38
LUNCH1,38
NOON1,38
LETTUCE1,38
RIVER1,38
EDIT1,38
HURDLE/TRIP1,38
DOWNSIZE1,38
CONFUSED1,37
LOCK1,37
TWINS1,37
CANCER1,37
CLOUD1,37
DINNER1,37
GUESS1,37
HALLOWEEN1,37
CANCEL1,37
THIRD1,37
BACKPACK1,37
SPECIAL1,37
CALENDAR1,37
TAKEOFF1,36
DEVELOP1,36
THEY1,36
BATH,32
GONE,32
ANGRY,32
MEDITATE3,32
WRISTWATCH3,32
WHAT1,32
BOTTLE,32
DROWN5,32
HELMET1,32
MAIL1,32
SHINY,32
DRESS,32
MOTHER,32
CONCEPT,32
BRIDGE1,32
FAVORITE,32
RAIN,32
ADVERTISE,32
SAME2,32
CITY1,32
BUTTERFLY,32
LOOKAPPEARANCE,32
CABINET,32
TRAIN,32
BECAUSE,32
SPEAKERS,32
CHOCOLATE,32
VIDEOPHONE,32
SEW,32
FOUR,32
ALPHABET,32
BROTHER,32
COOKIE,32
WORM,32
PERSON,32
SURPRISE,32
WORK,32
EMBARRASS,32
BEHAVIOR,32
STEAL,32
CANDY2,32
WINK,32
IMPORTANT,32
KANGAROO3,32
BASEBALLCAP,32
BOY,32
APPLE,32
PULLCONVINCE,32
SANDWICH2,32
VERYINTERESTED,32
ABOUT1,32
SOCCER2,32
CHEEK,32
FEW,32
CATEGORY,32
CLOSE,32
AUTISM1,32
FAIL,32
CEMETERY,32
BORROW,32
CHARACTER,32
FINISH,32
TEXT,32
AFTER,32
TROUBLE,32
THIEF1,32
HEALTH,32
WEAR,32
DANCE,32
EXPERIENCE,32
TRAVEL,32
AND,32
CIGARETTE,32
CALLTTY,32
BASEMENT,32
FARM,32
LIPSTICK,32
RECORDING,32
SLOW,32
THINGS,32
SCARED,32
MAYBE,32
BRAVE,32
OTHER,32
PEPSI,32
FAULT,32
ACTION,32
5DOLLARS,32
VOTE,32
CATHOLIC,32
WISH,32
WHO,32
INVITE,32
PLAY,32
WHICH,32
SUSPECT,32
ALARM,32
RIGHT2,32
EXPLANATION,32
BRAIDS,32
CASTLE4,32
ERASE4,32
MEASURE1,32
HAMMER,32
TWO,32
NORTH,32
CANCELLATION,32
TEMPTATION,32
KING,32
UNDERSTAND,32
MORNING,32
PAIN,32
FRIENDLY,32
STRANGE,32
HEARING,32
GREEN,32
BLOOD,32
COMPLEX,32
WOMAN1,32
CREDITCARD,32
MUSTACHE,32
COCAINE,32
CHEESEGRATER,32
THAT,32
EGYPT,32
SHOP2,32
GULLIBLE,32
CLEAR,32
NAME,32
SKATE,32
RED,32
DISAPPEAR,32
MOTORCYCLE,32
LAUGH,32
CORN2,32
HELLO,32
COVERUP,32
COCACOLA,32
EUROPE,32
BOWL,32
GREECE,32
LATER,32
WHY,32
HOPE,32
ZOOMOFF,32
STOMACH,32
SSHH,32
DODO,32
FALL2,32
LIGHTER,32
FUTURE,32
APPEAR,32
UNIVERSITY,32
HUSBAND,32
CHANNEL,32
GIFT,32
SWITZERLAND,32
TEAM,32
WANT1,32
BACKOUT,32
FILTER,32
BASKET1,32
EGGBEATER,32
SERVE1,32
FRACTION,32
ENTER,32
PSYCHOLOGY,32
EACH,32
SINK,32
PEEKABOO,32
VIEW,32
CHAIN,32
CHASE,32
FALLINGASLEEP,32
BOXING,32
GRENADE,32
TAKECARE,32
FLUTE,32
WORKOUT,32
DEPENDON,32
STICKY,32
ALLOFSUDDEN,32
CAPTURE,32
PONDER,32
JOKE,32
SOCIETY,32
ANYONE,32
POWDER,31
PERFUME1,31
WATERDROP,31
HOP,31
HIT1,31
HEADGRIND,31
DECLINE,31
PEAS1,31
CHEW3,31
DOG2,31
FRIENDSNOMORE1,31
WASTE,31
CAFETERIA,31
CARROT1,31
VERB,31
PLAYGROUND,31
BREAD,31
WHISTLE1,31
TEACHER,31
BOWLING1,31
GOODYGOODY,31
RULER,31
MAID,31
NOTUSEDTO,31
PIE,31
WOLF,31
PAPER,31
SHIRT1,31
EYEGLASSES,31
JIGSAWPUZZLE,31
KNEEL,31
UPLOAD,31
ISOLATED,31
SNAP,31
CLIMBLADDER,31
HEAVY,31
GRAY,31
SIGNATURE,31
WEAVE,31
GREET1,31
WINTER,31
COOL1,31
CHURN,31
HEARTBODY,31
TECHNOLOGY,31
CHARGE,31
PIZZA1,31
HANDSOME1,31
GUILLOTINE1,31
MICROWAVE,31
BIRD,31
SURF,31
READ,31
WANDER,31
STREET,31
TURTLE,31
DIFFERENTSITUATION,31
PLUS,31
TEMPERBLOWUP,31
BARELY,31
SPEND,31
ABOVE,31
GOOSEBUMPS,31
BRIGHT,31
WASHHANDS,31
TENDYOUR,31
LETTER2,31
HOTEL,31
HOCKEY,31
LEATHER,31
SHOT,31
WRING,31
DONTLIKE,31
ABBREVIATE,31
CONSUME,31
ROAST,31
OR,31
CONTACTLENS,31
CUTREMOVEVID,31
DRESSUP,31
ABSOLUTELYNOTHING,31
DIGUP,31
ALLGONE,31
VAIN,31
STAND-UP,31
SAUSAGE,31
FAIR,31
LIVINGROOM,31
WATCH,31
POLE,31
ZEBRA,31
RANGE,31
HANDSOAP,31
STRIPE,31
HEN,31
HIDE,31
FREAKOUT,31
JAR,31
MOVEDOWN,31
SHORTDISTANCE,31
TWOMORE,31
DESTROY,31
GIVEUP,31
ADD,31
BLAME,31
FAKE,31
CLOSET1,31
OVERWHELMED,31
BEAK,31
INVEST,31
WRAPUP1,31
ASSISTANT,31
WEWILLSEE,31
BALD,31
WATERSKI,31
SLINGSHOT,31
OCTOPUS,31
FILLOUT,31
TEARRIP1,31
ROB,31
SAILBOAT,31
YAWN1,31
HONEY1,31
NORMAL,31
FOLD1,31
THAN,31
SIDEBURNS,31
ACCORDION,31
DONUT,31
SPITOUT,31
BLOOM,31
INTERESTED,31
PAY,31
GENERATION,31
EYESAWAKE,31
LUNGS,31
SHOVEL1,31
DRUM,31
FISH,31
EVALUATE,31
PAINTBRUSH,31
HANDSOME2,31
HANUKKAH,31
BEANIE,31
CHAMPION,31
CLICK,31
THEN,31
DATE,31
ANY,31
HAMSTER,31
PRODUCESIGN,31
BIG,31
SOPHISTICATED,31
PERFUME2,31
OUR,31
PLANET,31
CONCERNED,31
PET1,31
ROUGH,31
SUCK,31
MELT,31
ROBOT,31
DISCUSS,31
ANSWER,31
ORANGEEYES,31
ORANGETHROAT,31
TOBACCO,31
GOAT,31
SPONTANEOUS,31
SLICE1,31
GLOVES2,31
CORKSCREW1,31
JUNIOR,31
MINIMUM2,31
CARDS,31
SWORD,31
RICH,31
EMPHASIS,31
HABIT,31
SIGN,31
BIB,31
SHARK1,31
ESCALATOR,31
BOTTOM,31
LICK1,31
SWIM1,31
SKIN,31
LOUSY,31
SNEAKADVENTURE,31
COST,31
TRUTH,31
INTUITIVE,31
SLAVE,31
SHARE,31
LOLLIPOP,31
BUSY,31
CUT,31
MOST,31
TICKET,31
FACE,31
SCULPTURE,31
ALCOHOL,31
PEN,31
FAR,31
SMELL,31
CONTINUE,31
PEACH2,31
SHAVE3,31
STAND1,31
CARVE,31
NAILCLIPPER,31
VITAMINS,31
WALL,31
CLOTHES,31
SOAP2,31
CONNECTION,31
TEASE,31
MOVE,31
SING,31
TOAST,31
YOU,31
CONFIDENT,31
SMART,31
SAW1,31
RESTAURANT,31
ENGINESTART,31
PECK,31
NOSEBLEED,31
FOLLOW1,31
JACKET3,31
ARREST2,31
GUILTY,31
BUDGET,31
NIECE,31
LETMESEE,31
GERMANY,31
END,31
FLOOR,31
THANKSGIVING,31
SMILE1,31
WHEN,31
MONDAY,31
FRAUD,31
PILLOW3,31
CROSS2,31
BASIC,31
NOTINTERESTED,31
FLIPSWITCH,31
ENVELOPE5,31
ENVELOPE1,31
CAN1,31
ROPE,31
KISS1,31
MAGAZINE,31
SOCKS,31
DESERT,31
NECKLACE1,31
HISTORY,31
SHEEP,31
RADIO,31
NEUTRAL,31
BALLOON,31
LION,31
WASH1,31
PLUG1,31
YUCKY,31
SARCASTIC,31
PIZZA2,31
BEANS,31
DISRUPT,31
DEPRESS,31
PEACH1,31
CAMPING,31
BRIDESMAID,31
POPCORN,31
GORILLA,31
SWING1,31
DRAWER,31
9OCLOCK,31
PARACHUTE2,31
PARACHUTE1,31
MONKEY,31
CASTLE1,31
SHY,31
HEARINGAID,31
BED1,31
PLUNGER,31
SPAGHETTI,31
PEEL2,31
RESTALLDAY,31
COINS,31
SHAVE4,31
PEAS2,31
ARM1,31
AVOID,31
NUT1,31
STOCKINGS,31
EASEL,31
EDGE,31
CAROUSEL,31
LICKENVELOPE2,31
PIPE2,31
PROMISE,31
BOOK,31
ELECTRICIAN,31
CLEFTCHIN,31
SCARF2,31
PLOW2,31
PINEAPPLE3,31
LEMON1,31
BOWTIE,31
STARS,31
TRUE,31
SKATEBOARDING1,31
PATIENT1,31
ERASER,31
ELEGANCE,31
STRESS,31
YEAR,31
PREFER,31
VACATION,31
BAKE2,31
TIME,31
BEHIND,31
KEY,31
HARD,31
FAT,31
PIPE1,31
BUILDING,31
LOOKAT,31
BLIND,31
HOTDOG,31
FALL1,31
CAREFUL,31
STRAWBERRY2,31
SPACESHIP,31
INCH,31
SERVE2,31
HUMMINGBIRD,31
PERSUADE,31
LUCK,31
OIL2,31
EASY,31
BACON,31
KNOW,31
GALLAUDET,31
SICK,31
MIND,31
MACHINE,31
OWE,31
RUDE,31
MORE,31
REALLY,31
VIOLIN,31
FRECKLES,31
PRICE,31
DOUBT,31
POSSIBLE,31
HIPPO1,31
COLLEGE,31
KEYBOARD,31
IMAGINE1,31
EXERCISE,31
FIRST,31
TALK1,31
LAWNMOWER,31
GLASSES,31
GOVERNMENT,31
EMOTION,31
VEGETABLE,31
NEW,31
RING,31
ACT,31
FIND,31
PROBLEM1,31
PINK,31
YOUR,31
PLACE,31
CUTE2,31
DONTMIND,31
FIGHT,31
RELIGION,31
ASK,31
ARMY,31
DRINK1,31
ANIMAL,31
COUSIN,31
DIVORCE,31
TALL2,31
CHAT,31
CALLATTENTION,31
LATE,31
GET,31
WARN,31
GAS,31
MAKE,31
DRYER,31
HOME,31
SETUP,31
ME,31
LOUD,31
SUCKTHUMB,31
SNOWSUIT,31
AUDITORIUM,31
RESULT,31
ONE,31
PROJECT,31
HYPOCRITE,31
PHILOSOPHY,31
PURPLE,31
WHERE,31
PLEASE,31
COMMUNICATION,31
PILE,31
SALT,31
LAST,31
MINUTE,31
VIDEOCAMERA1,31
QUIET,31
MONEY1,31
AWKWARD,31
BOSS,31
WAVE,31
WIN,31
EARTHQUAKE,31
ACCOUNTANT,31
NAPKIN,31
CHALLENGE,31
WORLD,31
CORN1,31
BLACK,31
LIE,31
SON,31
FEEL,31
WONDER,31
RIGHT1,31
JUDGE,31
MAN,31
DREAM,31
MOCK,31
HUNGRY,31
AREA,31
TOW2,31
TOP,31
SHARPEN1,31
SELF,31
BOIL2,31
PROTEST,31
MEMORIZE,31
REACT,31
LEARN,31
CAMERA,31
NOTHING1,31
GOOD,31
BORED1,31
BINOCULARS,31
SCARCELY,31
ENGINEER,31
SUBTRACT,31
PICTURE,31
PARENTS,31
PEACE,31
HEADACHE,31
WRISTWATCH1,31
KITCHEN,31
FILM,31
FLASHLIGHT1,31
ANNOUNCE,31
RUN1,31
MCDONALDS,31
GIRAFFE,31
SECRETARY,31
US,31
FILE3,31
MIRROR,31
MOUSE,31
HEART,31
INTEREST,31
FIRE,31
TOURNAMENT,31
MEAN2,31
STARBUCKS,31
OFTEN,31
NOTATHING,31
SAMETIME,31
MODEL1,31
AMERICA,31
GROW,31
HANDCUFFS,31
GRADUATE,31
PIRATE,31
BREAKDOWN2,31
PENCIL,31
BUMPY,31
SHIRT2,31
LIGHT,31
FLASHLIGHT2,31
CELLPHONE,31
TRANSFER,31
LONGWORD,31
MAINSTREAM,31
MINE,31
ARIZONA,31
SEESEE,31
CRY2,31
BLUR,31
SHOULDER2,31
COMMITTEE,31
PLUG2,31
HAWAII,31
SAIL2,31
FLIP,31
PEOPLE,31
WHATEVER,31
THIEF2,31
MUCH,31
FRONT,31
MUSEUM,31
INTERVIEW,31
ENEMY,31
HOLD2,31
STRETCH2,31
AWARD,31
BURY3,31
TOW3,31
SPREAD2,31
THROW2,31
CITY2,31
TURKEY2,31
HIPPO2,31
HOODIE1,31
TIE2,31
BURY2,31
CRUMPLE,31
BRIDGE2,31
SHARPEN2,31
WRESTLE,31
FORK1,31
DEPARTMENT,31
POPULAR,31
HAT2,31
CASTLE3,31
BITEONARM,31
CAKE,31
GROUP,31
COMB1,31
ARM3,31
GLOVES4,31
SUNRISE,31
DOLPHIN3,31
IDENTITY,31
BANANA3,31
FENCE2,31
TINY,31
FORK2,31
SHOOT2,31
GO,31
MIX3,31
MEDICINE,31
RIGHT3,31
CALL2,31
SLIP2,31
POINTINDEX,31
QM,31
TWIRL,31
ONEMORE2,31
FOUL,31
WEAK,31
DUCK2,31
COMB2,31
8HOUR,31
COPY,31
PENNY,31
RABBIT2,31
RHINO2,31
UNCLE,31
POLICEMAN2,31
GETINBED,31
CAT3,31
TRIANGLE,31
MILK2,31
WHISTLE2,31
ALLOVER,31
ALL,31
WALK-TIGHTROPE-CL,31
SWEATER2,31
HOW1,31
VOICE,31
TEACH1,31
COOPERATE,31
WEIGH,31
SELECT,31
GRAMMAR,31
CHEER,31
METAL,31
BLINDS2,31
VLOG,31
MEAT1,31
PEG1,31
MOUTH,31
TOMATO,31
VOMIT,31
ERUPT2,31
PEG2,31
HELICOPTER2,31
SKI,31
PASSPORT,31
DIG,31
TENT,31
ENOUGH,31
LONGLINE,31
SHOCKED,31
OFFEND,31
SLIDE2,31
MYSELF,31
BABY2,31
ARTICLE,31
SLIPPER,31
GHOST,31
STORY2,31
OFF,31
SUSHI,31
PIZZACUTTER,31
CANNOT,31
BISON,31
CATCH2,31
FOREVER1,31
WASH2,31
PRETEND,31
BACK,31
MICROSCOPE2,31
SINCE,31
TEACH2,31
BRA3,31
SUSPEND,31
CLEAN,31
SAUCE,31
AUNT,31
RESIGN,31
POLICY,31
WELCOME1,31
HINGE,31
HARMONICA,31
HATCH2,31
DEVOUR,31
RIDE1,31
BOWLING2,31
LEAVEALONE,31
HOLDACCOUNTABLE,31
LIPREAD,31
WORD,31
GUIDE,31
ZOO,31
PHYSICS,31
SALTSHAKER,31
NINE,31
HERE,31
DIVIDE,31
CIGAR,31
BULL,31
CRAWL2,31
CLOUD4,31
CLOSEEYES,31
DEFLATE,31
FRENCHFRIES,31
BAKE1,31
GRASS,31
SHORTS,31
BUTTER,31
MAGNET2,31
DRAGON,31
GRADE,31
SWEATER3,31
PUSH,31
BLOWMIND,31
BOLT,31
NEXT,31
PROPELLER,31
GATE,31
REGISTER,31
HOW2,31
NOTYET,31
SNEEZE2,31
JEALOUS,31
SPORTS,31
MUST,31
INHALE,31
