Gloss,Frequency
.,4933
?,2437
I,2172
",",1943
YOU,1673
MY,652
HE,452
YOUR,427
HAVE,380
SHE,367
LIKE,331
FINISH,261
WHAT,246
WANT,237
NOT,206
DEAF,180
IT,179
TIME,157
WHICH,148
EAT,145
CLASS,143
BOOK,139
GO,136
BUY,136
NAME,134
SIGN,131
!,130
WHAT?,128
WHO,127
NEW,127
HOW,127
YESTERDAY,127
WHERE,125
CAR,122
WORK,120
WILL,120
TOMORROW,117
SEE,112
GO-TO,103
THINK,101
FAVORITE,100
SISTER,98
LIVE,98
NOW,96
FRIEND,96
HOW-MANY,95
MUST,94
HOUSE,93
KNOW,90
CAN,90
NEED,89
BEFORE,89
NONE,88
WHERE?,86
LOVE,86
THERE,84
SCHOOL,84
WHY?,84
OLD,84
TODAY,83
MOVIE,82
WHEN,80
TWO,80
FEEL,79
YES,78
BROTHER,77
HOME,76
HER,76
WOMAN,76
WHY,74
GOOD,72
DAY,70
ONE,69
MOTHER,69
THREE,69
HIS,68
PEOPLE,68
FOR,66
MAN,64
MONEY,64
SUPPOSE,64
YEAR,64
PLEASE,62
VISIT,62
COLOR,59
LEARN,57
FIND,56
FATHER,56
NIGHT,55
ASL,55
PAPER,55
PLAY,54
TEACH+AM,54
UNDERSTAND,52
DOG,52
CAN'T,51
NOTHING,51
MANY,51
HEAR,50
ENJOY,50
WE,50
NO,50
SHOULD,49
NEVER,47
THIS,47
DON'T,47
THAT,47
READ,47
HERE,47
STUDY,45
FROM,45
FAMILY,45
TEST,45
TEACHER,44
THEY,44
TAKE-UP,44
SIX,44
FOOD,44
WEATHER,43
GO-THERE,43
WRITE,43
CAT,42
PREFER,42
SINCE,41
HIMSELF,41
CHILDREN,41
DAUGHTER,40
DOCTOR,40
IF,40
PAST,40
ARRIVE,40
WATCH,40
BORN,40
GIRL,40
HAPPEN,39
STORE,39
RAIN,38
SICK,38
P-A-T,38
PRACTICE,37
REMEMBER,37
AND,37
COLLEGE,37
LOSE,36
AUNT,36
BOY,36
BIRTHDAY,35
WRONG,35
J-O-H-N,35
GAME,34
FOUR,34
HATE,34
AGE,34
RESTAURANT,33
FIVE,33
DRINK,33
UP,33
WITH,32
MORNING,32
COMPUTER,32
MYSELF,32
EVERY,32
SATURDAY,31
BLUE,31
NOT-YET,31
HAPPY,31
GALLAUDET,30
GO-AWAY,30
FIRST,30
TWO-OF-WE,30
ALWAYS,30
STUDENT,30
T-V,29
TEN,29
UNCLE,29
MILK,29
DON'T-LIKE,28
BUT,28
WIFE,28
USE,28
SNOW,28
PARTY,28
GET,28
EASY,27
JOB,27
PLAN,27
WALK,27
DECIDE,27
FORGET,27
VACATION,27
RIGHT,27
SON,27
HAS,27
GRANDMOTHER,27
LEAVE,27
BREAK,26
DAD,26
EQUAL,26
BLACK,26
MOM,25
WASHINGTON,25
COST,25
PICTURE,25
FAMOUS,25
FOOTBALL,25
LEFT,25
HAIR,25
MEETING,25
DRIVE,24
TV,24
MAKE,24
SOMETIMES,24
HOW?,24
MARRY,24
BECOME,24
SUMMER,24
GRANDFATHER,24
SEVEN,24
TABLE,24
NICE,24
EXERCISE,24
WAIT,23
WATER,23
BAD,23
ALL,23
COOK,23
DON'T-KNOW,23
HAMBURGER,23
YOURSELF,23
MONTH,23
WHAT-KIND,22
LAST,22
BASEBALL,22
TICKET,22
ICE,22
HERSELF,22
HOT,22
WEEK,22
HELP,22
PARENTS,22
DON'T-WANT,22
ROOM,22
MAYBE,22
COLD,22
CHICAGO,22
AGAIN,22
RED,22
CANDY,21
DINNER,21
TO,21
MOST,21
DURING,21
TELL,21
LETTER,21
BOX,21
TEAM,21
AWFUL,21
WHITE,21
RECENTLY,21
COME,20
START,20
MONDAY,20
NEAR,20
MAJOR,20
BEST,20
COFFEE,20
DO,20
MEET,20
CHAIR,20
GREEN,20
MARRIED,20
STAY,20
WHO?,20
PRESIDENT,20
T-T-Y,19
AFTERNOON,19
PM,19
BOYFRIEND,19
FRIDAY,19
TIRED,19
PANTS,19
SMALL,19
L-E-E,19
CLOTHES,19
A,19
CALIFORNIA,19
WHEN?,19
COUSIN,19
LANGUAGE,19
DIED,19
HORSE,19
EIGHT,19
HOMEWORK,19
IN,19
SHORT,19
WOW,18
TONIGHT,18
FALL,18
DO-DO,18
YORK,18
DRESS,18
ABOUT,18
LECTURE,18
LUNCH,18
LIBRARY,18
BETTER,18
MORE,18
EXPLAIN,18
FISH,18
SHIRT,18
NEXT-WEEK,18
COAT,18
LATE,18
APPOINTMENT,18
PASS,18
OUR,17
ON,17
FUTURE,17
AIRPLANE,17
SHOES,17
GIVE,17
GRADUATE,17
TAKE,17
FINE,17
THE,17
SIT,17
PLANT,17
DEGREES,17
TEACH,17
IMPORTANT,16
TRAIN,16
HUNGRY,16
COOKIES,16
PLUS,16
CANCEL,16
PRETTY,16
BASKETBALL,16
LATER,16
SALAD,16
TO-TELEPHONE,16
FRUSTRATE,16
SUNDAY,16
ENTER,16
SOME,16
DO-WHAT,16
LONG-AGO,16
PIZZA,16
CLEAN,16
SKILL,16
ELEVEN,16
MEAT,15
SAY,15
LEARN+AM,15
HARD,15
CITY,15
PAY,15
BROWN,15
OR,15
ESCAPE,15
STILL,15
CHRISTMAS,15
MEAN,15
THURSDAY,15
CREAM,15
LOOK-AT,15
DON'T-MIND,15
EXPENSIVE,15
SHOW-UP,15
GROW,14
TELEPHONE,14
BREAKFAST,14
FINALLY,14
DISLIKE,14
SLEEP,14
READY,14
BOOKS,14
BRING,14
HOW-MUCH,14
EGG,14
LIKES,14
SCIENCE,14
DOLLAR,14
ALL-NIGHT,14
TRUE,14
COOKIE,14
HIT,14
NIECE,14
CENTS,14
LOVES,14
S-D,14
DOLLARS,14
BICYCLE,14
INTERESTING,14
STOP,14
EARLY,14
HISTORY,14
FIFTEEN,14
TRAVEL,14
MOVE-TO,14
SWIM,13
FLOWER,13
AM,13
EVERYDAY,13
WASH,13
DRIVE-TO,13
BEAUTIFUL,13
NEXT,13
LONG,13
I-MEET-YOU,13
RECENT,13
COLLECT,13
BED,13
TRY,13
THEIR,13
B-U-S,13
NUMBER,13
ATE,13
CHOCOLATE,13
NEIGHBOR,13
HARD-OF-HEAR,13
L-A,13
PIE,13
COSTS,13
CAPTION,13
ALL-DAY,13
AFRAID,13
FRENCH,13
SAME,12
SORRY,12
BUSY,12
F-L-A,12
PERSON,12
OTHER,12
UNIVERSITY,12
ORDER,12
DISCUSS,12
GIRLFRIEND,12
PHONE,12
NINE,12
LAST-YEAR,12
BOSS,12
TEA,12
LARGE,12
PLACE,12
HUSBAND,12
DRIVE-THERE,12
JOIN,12
YOU-GIVE-I,12
ENGLISH,12
INTERPRET+AM,12
DENTIST,11
LAST-WEEK,11
LOST,11
EVERY-DAY,11
SPORTS,11
BABY,11
ACCEPT,11
SOUP,11
SUN,11
RIDE,11
PLENTY,11
TASTE,11
DAILY,11
M-A-R-Y,11
DIE,11
TWO-OF-THEY,11
HIGH,11
AGO,11
SUITCASE,11
BIG,11
TWENTY-FIVE,11
CHASE,11
ONE-WEEK,11
WINTER,11
BUILDING,11
GOOD-FRIEND,11
YEARS,11
COME-HERE,11
YOUNG,11
YELLOW,11
TUESDAY,10
SOUTH,10
HOUR,10
WIN,10
SELL,10
MATH,10
ANY,10
STUCK,10
QUIT,10
TALL,10
C-O,10
