input,target
I FUTURE RUN MARATHON .,I will run a marathon someday.
MY GRANDPA OLD SEVENTY-FIVE .,My grandpa is 75 years old.
I HUNGRY DON'T WANT COOK ARRIVE HOME ENTER HIT SMELL GOOD MY FRIEND COOK FOR I WOW .,I was hungry and didn't want to cook. I arrived home and went in. The house smelled good. My friend had cooked for me. Wow!
WHAT YOU THINK ?,What do you think?
MY PARENTS LIVE WHERE? SENIOR CITIZEN COMMUNITY .,My parents live in a senior citizen community.
IF BAD WEATHER HAPPEN EVER STUCK FINISH YOU ?,Have you ever been caught in bad weather?
SPRING VACATION YOU EXCITED YOU ?,Are you excited for spring vacation?
HORSE ESCAPE WHICH ?,Which horse escaped?
F-L-A GO-TO NOW I WISH I COULD .,I wish I could go to Florida now.
"HE CLASS SHOW-UP , NOT-YET .",He hasn't shown up for class yet.
SPAIN HAVE MANY BOAT ?,Does Spain have many boats?
S-E-A-N F-O-R-B-E-S HIMSELF DEAF H-I-P H-O-P MUSICIAN HE MAKES MUSIC ACCESSIBLE FOR DEAF COMMUNITY .,Sean Forbes is a deaf hip-hop artist who makes music accessible to the deaf community.
YOU LEARN ASL HOW ?,How did you learn ASL?
YOU SMOKE ?,Do you smoke?
YOUR GOOD FRIEND NAME WHAT ?,What is your good friend's name?
HE OUR FATHER .,He is our father.
"COLLEGE STUDENT ALWAYS BROKE , WHY ?",Why are college students always broke?
I ASIAN BUT LIVE WHERE? AMERICA .,"I am Asian, but I live in America."
SHE DON'T-KNOW SIGN SHE .,The woman doesn't know sign language.
PLEASE FOR I BOX CARRY-THERE .,Can you carry my box for me please?
MICHIGAN WHERE? NORTH .,Michigan is in the north.
ELEVEN TURTLES I HAVE .,I have eleven turtles.
YOU WANT STAY HOME WATCH MOVIE ?,Do you want to stay home and watch a movie?
PRACTICE SIGN YOU !,Practice signing!
WHAT J-U-L-I-E EAT ?,What did Julie eat?
"I SEE MOVIE PAST-NIGHT ""SIX MILLION DOLLAR MAN"" ?","Did you see the movie last night, the ""Six Million Dollar Man""?"
SHE NAME T-A-R-A SHE .,Her name is Tara.
YOU HAPPY ?,Are you happy?
B-O-B DIVORCE SAD HE .,"Bob is divorced, and he is sad. "
X-RAY SHOW ARM BROKE .,The x-ray showed he broke his arm.
TWO DAYS MY FRIEND VISIT I WILL .,I will visit my friend for two days.
HOW SIGN S-P-I-L-L ?,How do you sign spill?
YOU LIKE MEET NEW PEOPLE YOU ?,Do you like to meet new people?
